"Time (s)","Voltage (V)"
-9.875e-06,-0.004816
-9.871e-06,-0.000863
-9.866999999999999e-06,0.002085
-9.863e-06,-0.001533
-9.859e-06,-0.005486
-9.855e-06,-0.002672
-9.851e-06,0.0032239999999999994
-9.846999999999999e-06,0.005234
-9.842999999999999e-06,0.001013
-9.839e-06,-0.005419
-9.835e-06,-0.008099
-9.831e-06,-0.004615
-9.827e-06,0.001884
-9.822999999999999e-06,0.005301
-9.818999999999999e-06,0.0024869999999999996
-9.815e-06,-0.003945000000000001
-9.811e-06,-0.008032000000000001
-9.807e-06,-0.005955
-9.802999999999999e-06,0.000343
-9.798999999999999e-06,0.005033
-9.795e-06,0.003693
-9.791e-06,-0.002337
-9.787e-06,-0.007563
-9.783e-06,-0.006960000000000001
-9.778999999999999e-06,-0.001131
-9.774999999999999e-06,0.004363
-9.771e-06,0.004564
-9.767e-06,-0.000863
-9.763e-06,-0.006759
-9.759e-06,-0.007697000000000001
-9.754999999999999e-06,-0.002739
-9.750999999999999e-06,0.003425
-9.747e-06,0.0051
-9.743e-06,0.000678
-9.739e-06,-0.005687
-9.734999999999999e-06,-0.008032000000000001
-9.730999999999999e-06,-0.004213000000000001
-9.727e-06,0.0022189999999999996
-9.723e-06,0.005301
-9.719e-06,0.002085
-9.715e-06,-0.004414
-9.710999999999999e-06,-0.008032000000000001
-9.706999999999999e-06,-0.005553000000000001
-9.703e-06,0.000879
-9.699e-06,0.005167
-9.695e-06,0.0032239999999999994
-9.691e-06,-0.003007
-9.686999999999999e-06,-0.007764
-9.682999999999999e-06,-0.0065580000000000005
-9.679e-06,-0.000528
-9.675e-06,0.004698
-9.671e-06,0.004162
-9.666999999999999e-06,-0.001533
-9.662999999999999e-06,-0.007161000000000001
-9.659e-06,-0.0073620000000000005
-9.655e-06,-0.001868
-9.651e-06,0.003961
-9.647e-06,0.0048319999999999995
-9.642999999999999e-06,-0.00019300000000000003
-9.638999999999999e-06,-0.006357000000000001
-9.635e-06,-0.007831
-9.631e-06,-0.0033420000000000004
-9.627e-06,0.0029560000000000003
-9.623e-06,0.005167
-9.618999999999999e-06,0.0011469999999999998
-9.615e-06,-0.005285000000000001
-9.611e-06,-0.008099
-9.607e-06,-0.004615
-9.603e-06,0.001884
-9.598999999999999e-06,0.005234
-9.594999999999999e-06,0.002353
-9.591e-06,-0.004079
-9.587e-06,-0.008032000000000001
-9.583e-06,-0.0057540000000000004
-9.579e-06,0.000678
-9.574999999999999e-06,0.005033
-9.570999999999999e-06,0.003358
-9.567e-06,-0.002873
-9.563e-06,-0.007697000000000001
-9.559e-06,-0.006625000000000001
-9.554999999999999e-06,-0.000595
-9.550999999999999e-06,0.004631
-9.547e-06,0.004162
-9.543e-06,-0.001533
-9.539e-06,-0.007161000000000001
-9.535e-06,-0.007295
-9.530999999999999e-06,-0.001801
-9.526999999999999e-06,0.003961
-9.523e-06,0.004765
-9.519e-06,-0.00039400000000000004
-9.515e-06,-0.006424000000000001
-9.511e-06,-0.007764
-9.506999999999999e-06,-0.0030740000000000003
