"Time (s)","Voltage (V)"
0.0,0.002383368
4e-09,0.000375
8e-09,-0.0024701880000000003
1.2000000000000002e-08,-0.0034743720000000003
1.6e-08,-0.001466004
2e-08,0.0013791839999999999
2.4000000000000003e-08,0.002718096
2.8000000000000003e-08,0.001044456
3.2e-08,-0.0019680960000000003
3.6000000000000005e-08,-0.003641736
4e-08,-0.0024701880000000003
4.4000000000000004e-08,0.000542364
4.8000000000000006e-08,0.002383368
5.2e-08,0.0013791839999999999
5.6000000000000005e-08,-0.0012986400000000002
6.000000000000001e-08,-0.0038091000000000006
6.4e-08,-0.003139644
6.8e-08,4.0271999999999997e-05
7.200000000000001e-08,0.003220188
7.6e-08,0.0047264640000000005
8e-08,0.0042243720000000005
8.400000000000001e-08,0.00288546
8.800000000000001e-08,0.000877092
9.2e-08,-0.00213546
9.600000000000001e-08,-0.006486924
1.0000000000000001e-07,-0.010336296
1.04e-07,-0.012009936
1.08e-07,-0.010838388000000001
1.1200000000000001e-07,-0.006989016
1.16e-07,-0.001466004
1.2000000000000002e-07,0.004559100000000001
1.24e-07,0.009914748000000001
1.28e-07,0.012592572000000002
1.3200000000000002e-07,0.01209048
1.36e-07,0.008743200000000001
1.4e-07,0.003220188
1.4400000000000002e-07,-0.002804916
1.48e-07,-0.008495292
1.52e-07,-0.0121773
1.5600000000000002e-07,-0.012846756
1.6e-07,-0.010168932
1.64e-07,-0.004980648
1.6800000000000002e-07,0.001546548
1.72e-07,0.008073744
1.7600000000000001e-07,0.011923116000000001
1.8000000000000002e-07,0.012759936000000001
1.84e-07,0.01041684
1.8800000000000002e-07,0.005563284000000001
1.9200000000000003e-07,-0.00046182000000000005
1.96e-07,-0.006821652
2.0000000000000002e-07,-0.011507844
2.04e-07,-0.013181484
2.08e-07,-0.011507844
2.1200000000000002e-07,-0.006989016
2.16e-07,-0.000629184
2.2e-07,0.005898012
2.2400000000000002e-07,0.010918932000000001
2.28e-07,0.012927300000000001
2.32e-07,0.011755752000000001
2.3600000000000002e-07,0.0077390160000000005
2.4000000000000003e-07,0.0018812759999999999
2.44e-07,-0.004478556
2.48e-07,-0.010001568
2.5200000000000003e-07,-0.01301412
2.56e-07,-0.012679392
2.6e-07,-0.009164748
2.6400000000000003e-07,-0.003139644
2.68e-07,0.003387552
2.72e-07,0.009412656
2.7600000000000004e-07,0.012592572000000002
2.8e-07,0.012425208
2.84e-07,0.009412656
2.8800000000000004e-07,0.004057008
2.92e-07,-0.00213546
2.96e-07,-0.008327928
3.0000000000000004e-07,-0.012344664
3.04e-07,-0.013181484
3.08e-07,-0.010671024
3.1200000000000004e-07,-0.00548274
3.16e-07,0.001044456
3.2e-07,0.007571652000000001
3.2400000000000004e-07,0.011755752000000001
3.28e-07,0.012759936000000001
3.32e-07,0.010584204
3.3600000000000004e-07,0.006065376000000001
3.4000000000000003e-07,-0.00012709199999999998
3.44e-07,-0.006486924
3.4800000000000005e-07,-0.01134048
3.5200000000000003e-07,-0.013181484
3.56e-07,-0.011675208
3.6000000000000005e-07,-0.0071563799999999995
3.6400000000000003e-07,-0.000629184
3.68e-07,0.0057306480000000005
3.7200000000000005e-07,0.010751568000000001
3.7600000000000003e-07,0.012759936000000001
3.8e-07,0.011588388000000002
3.8400000000000005e-07,0.007571652000000001
3.8800000000000003e-07,0.001546548
3.92e-07,-0.004813284
3.96e-07,-0.010168932
4.0000000000000003e-07,-0.01301412
4.04e-07,-0.012512028
4.08e-07,-0.008662656
4.1200000000000004e-07,-0.0024701880000000003
4.16e-07,0.004057008
4.2e-07,0.009747384000000001
4.2400000000000004e-07,0.012592572000000002
4.28e-07,0.01209048
4.32e-07,0.008743200000000001
4.3600000000000004e-07,0.003052824
4.4e-07,-0.003139644
4.44e-07,-0.009164748
4.4800000000000004e-07,-0.012679392
4.52e-07,-0.012846756
4.56e-07,-0.00966684
4.6000000000000004e-07,-0.003976464
4.64e-07,0.002550732
4.68e-07,0.008743200000000001
4.7200000000000004e-07,0.012257844
4.7600000000000003e-07,0.012425208
4.800000000000001e-07,0.00958002
4.84e-07,0.004391736
4.88e-07,-0.0019680960000000003
4.92e-07,-0.0079932
4.96e-07,-0.0121773
5.000000000000001e-07,-0.01301412
5.040000000000001e-07,-0.010671024
5.08e-07,-0.005315376
5.12e-07,0.0012118200000000002
5.16e-07,0.0077390160000000005
5.2e-07,0.011755752000000001
5.24e-07,0.012592572000000002
5.280000000000001e-07,0.010249476
5.32e-07,0.00539592
5.36e-07,-0.000629184
5.4e-07,-0.006989016
5.44e-07,-0.011507844
5.48e-07,-0.01301412
5.520000000000001e-07,-0.011173116
5.560000000000001e-07,-0.00631956
5.6e-07,0.000375
5.64e-07,0.0067348320000000005
5.68e-07,0.01125366
5.72e-07,0.012592572000000002
5.760000000000001e-07,0.010751568000000001
5.800000000000001e-07,0.0062327400000000005
5.84e-07,0.000207636
5.88e-07,-0.00631956
5.92e-07,-0.011173116
5.96e-07,-0.013181484
6.000000000000001e-07,-0.011507844
6.040000000000001e-07,-0.006989016
6.08e-07,-0.00046182000000000005
6.12e-07,0.006065376000000001
6.16e-07,0.010918932000000001
6.2e-07,0.012592572000000002
6.240000000000001e-07,0.011086296
6.280000000000001e-07,0.0067348320000000005
6.32e-07,0.000709728
6.36e-07,-0.0056501039999999995
6.4e-07,-0.010671024
6.44e-07,-0.01301412
6.480000000000001e-07,-0.011842572
6.520000000000001e-07,-0.007491108
6.56e-07,-0.000963912
6.6e-07,0.005563284000000001
6.64e-07,0.010584204
6.68e-07,0.012592572000000002
6.720000000000001e-07,0.01125366
6.760000000000001e-07,0.007069560000000001
6.800000000000001e-07,0.001044456
6.84e-07,-0.005315376
6.88e-07,-0.01050366
6.92e-07,-0.01301412
6.960000000000001e-07,-0.012009936
7.000000000000001e-07,-0.007825836
7.040000000000001e-07,-0.0012986400000000002
7.08e-07,0.0052285560000000005
7.12e-07,0.01041684
7.16e-07,0.012592572000000002
7.200000000000001e-07,0.011421024
7.240000000000001e-07,0.0072369240000000005
7.280000000000001e-07,0.0012118200000000002
7.32e-07,-0.004980648
7.36e-07,-0.010336296
7.4e-07,-0.012846756
7.440000000000001e-07,-0.012009936
7.480000000000001e-07,-0.007825836
7.520000000000001e-07,-0.001466004
7.56e-07,0.005061192000000001
7.6e-07,0.010249476
7.64e-07,0.012425208
7.680000000000001e-07,0.01125366
7.720000000000001e-07,0.0072369240000000005
7.760000000000001e-07,0.0012118200000000002
7.8e-07,-0.004980648
7.84e-07,-0.010336296
7.88e-07,-0.012846756
7.92e-07,-0.012009936
7.960000000000001e-07,-0.007825836
8.000000000000001e-07,-0.0012986400000000002
8.04e-07,0.0052285560000000005
8.08e-07,0.01041684
8.12e-07,0.012425208
8.16e-07,0.01125366
8.200000000000001e-07,0.007069560000000001
8.240000000000001e-07,0.001044456
8.280000000000001e-07,-0.005315376
8.32e-07,-0.01050366
8.36e-07,-0.012846756
8.4e-07,-0.011842572
8.440000000000001e-07,-0.007491108
8.480000000000001e-07,-0.000963912
8.520000000000001e-07,0.005563284000000001
8.56e-07,0.01041684
8.6e-07,0.012425208
8.64e-07,0.010918932000000001
8.680000000000001e-07,0.0067348320000000005
8.720000000000001e-07,0.000542364
8.760000000000001e-07,-0.0056501039999999995
8.8e-07,-0.010671024
8.84e-07,-0.012846756
8.88e-07,-0.011507844
8.920000000000001e-07,-0.006989016
8.960000000000001e-07,-0.00046182000000000005
9.000000000000001e-07,0.006065376000000001
9.04e-07,0.010751568000000001
9.08e-07,0.012257844
9.12e-07,0.010584204
9.160000000000001e-07,0.006065376000000001
9.200000000000001e-07,4.0271999999999997e-05
9.240000000000001e-07,-0.00631956
9.28e-07,-0.011005752
9.32e-07,-0.012846756
9.36e-07,-0.011173116
9.400000000000001e-07,-0.00631956
9.440000000000001e-07,0.000375
9.480000000000001e-07,0.0067348320000000005
9.520000000000001e-07,0.011086296
9.56e-07,0.012257844
9.600000000000001e-07,0.010082112
9.64e-07,0.00539592
9.68e-07,-0.0007965480000000001
9.72e-07,-0.0071563799999999995
9.76e-07,-0.011507844
9.800000000000001e-07,-0.012679392
9.84e-07,-0.01050366
9.880000000000001e-07,-0.005315376
9.92e-07,0.0012118200000000002
9.96e-07,0.007571652000000001
1.0000000000000002e-06,0.011421024
1.004e-06,0.01209048
1.0080000000000001e-06,0.009412656
1.012e-06,0.0042243720000000005
1.016e-06,-0.0019680960000000003
1.02e-06,-0.0079932
1.024e-06,-0.011842572
1.0280000000000002e-06,-0.012512028
1.032e-06,-0.00966684
1.0360000000000001e-06,-0.003976464
1.04e-06,0.002550732
1.044e-06,0.008408472
1.048e-06,0.011755752000000001
1.052e-06,0.011755752000000001
1.0560000000000001e-06,0.008575836
1.06e-06,0.003052824
1.064e-06,-0.003307008
1.068e-06,-0.008997384
1.072e-06,-0.012344664
1.0760000000000002e-06,-0.0121773
1.08e-06,-0.008662656
1.0840000000000001e-06,-0.002637552
1.088e-06,0.003889644
1.092e-06,0.009412656
1.096e-06,0.011923116000000001
1.1e-06,0.01125366
1.1040000000000001e-06,0.007404288
1.108e-06,0.001546548
1.1120000000000001e-06,-0.004813284
1.116e-06,-0.010001568
1.12e-06,-0.012512028
1.1240000000000002e-06,-0.011507844
1.128e-06,-0.007323744
1.1320000000000001e-06,-0.0007965480000000001
1.136e-06,0.00539592
1.14e-06,0.010249476
1.144e-06,0.011923116000000001
1.148e-06,0.01041684
1.1520000000000002e-06,0.005898012
1.156e-06,-0.00012709199999999998
1.1600000000000001e-06,-0.00631956
1.164e-06,-0.011005752
1.168e-06,-0.012512028
1.1720000000000002e-06,-0.010671024
1.176e-06,-0.0056501039999999995
1.1800000000000001e-06,0.000877092
1.184e-06,0.007069560000000001
1.188e-06,0.011086296
1.192e-06,0.011755752000000001
1.196e-06,0.009245292
1.2000000000000002e-06,0.004057008
1.204e-06,-0.00213546
1.2080000000000001e-06,-0.0079932
1.212e-06,-0.011675208
1.216e-06,-0.0121773
1.2200000000000002e-06,-0.009164748
1.224e-06,-0.0034743720000000003
1.2280000000000001e-06,0.00288546
1.232e-06,0.008575836
1.2360000000000001e-06,0.011588388000000002
1.24e-06,0.01125366
1.244e-06,0.0077390160000000005
1.2480000000000002e-06,0.00204864
1.252e-06,-0.004143828
1.2560000000000001e-06,-0.009499476
1.26e-06,-0.0121773
1.264e-06,-0.011507844
1.2680000000000002e-06,-0.007491108
1.272e-06,-0.001131276
1.2760000000000001e-06,0.005061192000000001
1.28e-06,0.009914748000000001
1.2840000000000001e-06,0.011755752000000001
1.288e-06,0.010249476
1.292e-06,0.005898012
1.2960000000000002e-06,-0.00012709199999999998
1.3e-06,-0.00631956
1.3040000000000001e-06,-0.010838388000000001
1.308e-06,-0.012344664
1.312e-06,-0.010168932
1.316e-06,-0.005315376
1.32e-06,0.001044456
1.3240000000000002e-06,0.0072369240000000005
1.328e-06,0.010918932000000001
1.3320000000000001e-06,0.011421024
1.336e-06,0.008743200000000001
1.34e-06,0.003554916
1.3440000000000002e-06,-0.002637552
1.348e-06,-0.008327928
1.3520000000000001e-06,-0.011675208
1.356e-06,-0.011842572
1.3600000000000001e-06,-0.008495292
1.364e-06,-0.0024701880000000003
1.368e-06,0.00372228
1.3720000000000002e-06,0.009077928
1.376e-06,0.011588388000000002
1.3800000000000001e-06,0.010584204
1.384e-06,0.0067348320000000005
1.388e-06,0.000877092
1.3920000000000002e-06,-0.0051480119999999996
1.396e-06,-0.010001568
1.4000000000000001e-06,-0.0121773
1.404e-06,-0.010671024
1.4080000000000001e-06,-0.0061521959999999995
1.412e-06,0.000375
1.416e-06,0.006400104
1.4200000000000002e-06,0.01041684
1.424e-06,0.011421024
1.4280000000000001e-06,0.009077928
1.432e-06,0.004057008
1.436e-06,-0.0018007320000000002
1.4400000000000002e-06,-0.0076584719999999995
1.444e-06,-0.01134048
1.4480000000000002e-06,-0.011842572
1.452e-06,-0.008662656
1.4560000000000001e-06,-0.0029722800000000003
1.46e-06,0.003220188
1.464e-06,0.008575836
1.4680000000000002e-06,0.01125366
1.472e-06,0.010584204
1.4760000000000001e-06,0.006902196
1.48e-06,0.001044456
1.4840000000000001e-06,-0.004980648
1.4880000000000002e-06,-0.009834204
1.492e-06,-0.012009936
1.4960000000000002e-06,-0.010671024
1.5e-06,-0.0061521959999999995
1.5040000000000001e-06,0.000207636
1.508e-06,0.0062327400000000005
1.512e-06,0.010249476
1.5160000000000002e-06,0.01125366
1.52e-06,0.008910564000000001
1.5240000000000001e-06,0.004057008
1.528e-06,-0.0019680960000000003
1.5320000000000001e-06,-0.007825836
1.5360000000000002e-06,-0.01134048
1.54e-06,-0.011675208
1.5440000000000002e-06,-0.008495292
1.548e-06,-0.002804916
1.5520000000000001e-06,0.003387552
1.556e-06,0.008743200000000001
1.56e-06,0.011086296
1.5640000000000002e-06,0.010249476
1.568e-06,0.006567468000000001
1.5720000000000002e-06,0.000709728
1.576e-06,-0.005315376
1.5800000000000001e-06,-0.010001568
1.584e-06,-0.011842572
1.588e-06,-0.010168932
1.5920000000000002e-06,-0.00548274
1.596e-06,0.000709728
1.6000000000000001e-06,0.0067348320000000005
1.604e-06,0.01041684
1.608e-06,0.011086296
1.6120000000000002e-06,0.008408472
1.616e-06,0.003220188
1.6200000000000002e-06,-0.002804916
1.624e-06,-0.008327928
1.6280000000000001e-06,-0.01134048
1.632e-06,-0.011173116
1.636e-06,-0.0076584719999999995
1.6400000000000002e-06,-0.0018007320000000002
1.644e-06,0.004391736
1.6480000000000001e-06,0.009245292
1.652e-06,0.011086296
1.6560000000000001e-06,0.009747384000000001
1.6600000000000002e-06,0.00539592
1.664e-06,-0.000294456
1.6680000000000002e-06,-0.00631956
1.672e-06,-0.01050366
1.6760000000000001e-06,-0.011675208
1.68e-06,-0.009332112
1.684e-06,-0.004143828
1.6880000000000002e-06,0.00204864
1.692e-06,0.0077390160000000005
1.6960000000000002e-06,0.010751568000000001
1.7e-06,0.010584204
1.7040000000000001e-06,0.0072369240000000005
1.7080000000000002e-06,0.0017139120000000002
1.712e-06,-0.004143828
1.7160000000000002e-06,-0.009164748
1.72e-06,-0.011507844
1.7240000000000001e-06,-0.01050366
1.728e-06,-0.0061521959999999995
1.732e-06,4.0271999999999997e-05
1.7360000000000002e-06,0.005898012
1.74e-06,0.009914748000000001
1.7440000000000002e-06,0.010918932000000001
1.748e-06,0.008575836
1.7520000000000001e-06,0.00372228
1.7560000000000002e-06,-0.00213546
1.76e-06,-0.007825836
1.7640000000000002e-06,-0.011005752
1.768e-06,-0.011173116
1.7720000000000001e-06,-0.007825836
1.776e-06,-0.0019680960000000003
1.7800000000000001e-06,0.004057008
1.7840000000000002e-06,0.008910564000000001
1.788e-06,0.010918932000000001
1.7920000000000002e-06,0.00958002
1.796e-06,0.00539592
1.8000000000000001e-06,-0.000294456
1.804e-06,-0.00631956
1.808e-06,-0.010336296
1.8120000000000002e-06,-0.01134048
1.816e-06,-0.008997384
1.8200000000000002e-06,-0.0038091000000000006
1.824e-06,0.002216004
1.8280000000000001e-06,0.0077390160000000005
1.8320000000000002e-06,0.010584204
1.836e-06,0.010082112
1.8400000000000002e-06,0.0067348320000000005
1.844e-06,0.0012118200000000002
1.8480000000000001e-06,-0.0046459199999999996
1.852e-06,-0.009332112
1.856e-06,-0.01134048
1.8600000000000002e-06,-0.009834204
1.864e-06,-0.00548274
1.8680000000000002e-06,0.000542364
1.872e-06,0.006400104
1.8760000000000001e-06,0.009914748000000001
1.8800000000000002e-06,0.01041684
1.884e-06,0.00790638
1.8880000000000002e-06,0.002718096
1.892e-06,-0.003139644
1.8960000000000001e-06,-0.008327928
1.9e-06,-0.011005752
1.9040000000000001e-06,-0.01050366
1.908e-06,-0.0066542879999999995
1.912e-06,-0.000629184
1.916e-06,0.005061192000000001
1.9200000000000003e-06,0.009245292
1.924e-06,0.010584204
1.928e-06,0.008575836
1.9320000000000003e-06,0.003889644
1.936e-06,-0.0018007320000000002
1.94e-06,-0.007323744
1.944e-06,-0.010671024
1.9480000000000002e-06,-0.010838388000000001
1.952e-06,-0.0076584719999999995
1.956e-06,-0.0019680960000000003
1.9600000000000003e-06,0.003889644
1.964e-06,0.008575836
1.968e-06,0.01041684
1.972e-06,0.009077928
1.9760000000000002e-06,0.004893828
1.98e-06,-0.000629184
1.984e-06,-0.006486924
1.9880000000000003e-06,-0.010168932
1.992e-06,-0.010838388000000001
1.996e-06,-0.008327928
2.0000000000000003e-06,-0.0029722800000000003
2.004e-06,0.00288546
2.008e-06,0.00790638
2.012e-06,0.010249476
2.0160000000000003e-06,0.009412656
2.02e-06,0.0057306480000000005
2.024e-06,0.000207636
2.0280000000000003e-06,-0.00548274
2.032e-06,-0.00966684
2.036e-06,-0.011005752
2.04e-06,-0.00883002
2.0440000000000003e-06,-0.003976464
2.048e-06,0.0018812759999999999
2.052e-06,0.0072369240000000005
2.0560000000000003e-06,0.009914748000000001
2.06e-06,0.00958002
2.064e-06,0.0062327400000000005
2.068e-06,0.000877092
2.0720000000000002e-06,-0.004813284
2.076e-06,-0.009164748
2.08e-06,-0.010838388000000001
2.0840000000000003e-06,-0.009164748
2.088e-06,-0.0046459199999999996
2.092e-06,0.0012118200000000002
2.096e-06,0.0067348320000000005
2.1000000000000002e-06,0.009747384000000001
2.104e-06,0.009747384000000001
2.108e-06,0.0067348320000000005
2.1120000000000003e-06,0.001546548
2.116e-06,-0.004143828
2.12e-06,-0.00883002
2.1240000000000003e-06,-0.010838388000000001
2.128e-06,-0.009332112
2.132e-06,-0.0051480119999999996
2.136e-06,0.000709728
2.1400000000000003e-06,0.0062327400000000005
2.144e-06,0.00958002
2.148e-06,0.009747384000000001
2.1520000000000003e-06,0.007069560000000001
2.156e-06,0.0018812759999999999
2.16e-06,-0.003641736
2.164e-06,-0.008495292
2.1680000000000002e-06,-0.010671024
2.172e-06,-0.009499476
2.176e-06,-0.00548274
2.1800000000000003e-06,0.000375
2.184e-06,0.0057306480000000005
2.188e-06,0.009412656
2.192e-06,0.009914748000000001
2.1960000000000002e-06,0.0072369240000000005
2.2e-06,0.002216004
2.204e-06,-0.003307008
2.2080000000000003e-06,-0.008160564
2.212e-06,-0.01050366
2.216e-06,-0.009499476
2.2200000000000003e-06,-0.0056501039999999995
2.2240000000000002e-06,0.000207636
2.228e-06,0.005563284000000001
2.232e-06,0.009245292
2.2360000000000003e-06,0.009747384000000001
2.24e-06,0.0072369240000000005
2.244e-06,0.002383368
2.2480000000000003e-06,-0.003139644
2.252e-06,-0.0079932
2.256e-06,-0.010336296
2.26e-06,-0.009499476
2.2640000000000003e-06,-0.0056501039999999995
2.268e-06,4.0271999999999997e-05
2.272e-06,0.00539592
2.2760000000000003e-06,0.009077928
2.28e-06,0.00958002
2.284e-06,0.0072369240000000005
2.288e-06,0.002383368
2.2920000000000002e-06,-0.003139644
2.296e-06,-0.0079932
2.3e-06,-0.010336296
2.3040000000000003e-06,-0.009499476
2.308e-06,-0.00548274
2.312e-06,0.000207636
2.316e-06,0.005563284000000001
2.3200000000000002e-06,0.009077928
2.324e-06,0.00958002
2.328e-06,0.007069560000000001
2.3320000000000003e-06,0.002216004
2.336e-06,-0.003307008
2.34e-06,-0.0079932
