"Time (s)","Voltage (V)"
0.0,0.003677824
4e-09,0.0066903760000000005
8e-09,0.008029287999999999
1.2000000000000002e-08,0.008029287999999999
1.6e-08,0.007025104
2e-08,0.00434728
2.4000000000000003e-08,-0.000338912
2.8000000000000003e-08,-0.006029288
3.2e-08,-0.009376568000000002
3.6000000000000005e-08,-0.010380752
4e-08,-0.008707112
4.4000000000000004e-08,-0.0046903760000000004
4.8000000000000006e-08,0.000665272
5.2e-08,0.00434728
5.6000000000000005e-08,0.007359832
6.000000000000001e-08,0.009033472
6.4e-08,0.008698744000000001
6.8e-08,0.00602092
7.200000000000001e-08,0.002004184
7.6e-08,-0.00402092
8e-08,-0.008037656
8.400000000000001e-08,-0.010380752
8.800000000000001e-08,-0.009711296000000001
9.2e-08,-0.006364016
9.600000000000001e-08,-0.001677824
1.0000000000000001e-07,0.0023389120000000003
1.04e-07,0.00602092
1.08e-07,0.008364016
1.1200000000000001e-07,0.009033472
1.16e-07,0.007025104
1.2000000000000002e-07,0.003677824
1.24e-07,-0.00234728
1.28e-07,-0.006698744
1.3200000000000002e-07,-0.009711296000000001
1.36e-07,-0.010046024
1.4e-07,-0.007702928
1.4400000000000002e-07,-0.004355648
1.48e-07,-4.183999999999959e-06
1.52e-07,0.005016736
1.5600000000000002e-07,0.008364016
1.6e-07,0.009702928
1.64e-07,0.008698744000000001
1.6800000000000002e-07,0.005016736
1.72e-07,0.000665272
1.7600000000000001e-07,-0.00402092
1.8000000000000002e-07,-0.007702928
1.84e-07,-0.009711296000000001
1.8800000000000002e-07,-0.009376568000000002
1.9200000000000003e-07,-0.006029288
1.96e-07,-0.001008368
2.0000000000000002e-07,0.0033430960000000003
2.04e-07,0.007025104
2.08e-07,0.009033472
2.1200000000000002e-07,0.009033472
2.16e-07,0.007025104
2.2e-07,0.003008368
2.2400000000000002e-07,-0.002682008
2.28e-07,-0.006698744
2.32e-07,-0.009711296000000001
2.3600000000000002e-07,-0.009376568000000002
2.4000000000000003e-07,-0.007033472
2.44e-07,-0.002682008
2.48e-07,0.00267364
2.5200000000000003e-07,0.0056861920000000005
2.56e-07,0.009033472
2.6e-07,0.0093682
2.6400000000000003e-07,0.008029287999999999
2.68e-07,0.00434728
2.72e-07,-0.001008368
2.7600000000000004e-07,-0.006029288
2.8e-07,-0.008707112
2.84e-07,-0.010046024
2.8800000000000004e-07,-0.008707112
2.92e-07,-0.0046903760000000004
2.96e-07,0.000330544
3.0000000000000004e-07,0.005016736
3.04e-07,0.0076945600000000005
3.08e-07,0.0093682
3.1200000000000004e-07,0.008364016
3.16e-07,0.005351464
3.2e-07,0.001
3.2400000000000004e-07,-0.00402092
3.28e-07,-0.008707112
3.32e-07,-0.010380752
3.3600000000000004e-07,-0.009041839999999999
3.4000000000000003e-07,-0.00569456
3.44e-07,-0.0013430960000000002
3.4800000000000005e-07,0.003677824
3.5200000000000003e-07,0.006355648
3.56e-07,0.009033472
3.6000000000000005e-07,0.009033472
3.6400000000000003e-07,0.0066903760000000005
3.68e-07,0.002004184
3.7200000000000005e-07,-0.003351464
3.7600000000000003e-07,-0.007368200000000001
3.8e-07,-0.009376568000000002
3.8400000000000005e-07,-0.009376568000000002
3.8800000000000003e-07,-0.007368200000000001
3.92e-07,-0.0036861920000000005
3.96e-07,0.0016694560000000002
4.0000000000000003e-07,0.006355648
4.04e-07,0.009033472
4.08e-07,0.009702928
4.1200000000000004e-07,0.007359832
4.16e-07,0.0033430960000000003
4.2e-07,-0.0013430960000000002
4.2400000000000004e-07,-0.005359832
4.28e-07,-0.008707112
4.32e-07,-0.010046024
4.3600000000000004e-07,-0.009041839999999999
4.4e-07,-0.0046903760000000004
4.44e-07,0.0016694560000000002
4.4800000000000004e-07,0.005351464
4.52e-07,0.008698744000000001
4.56e-07,0.009033472
4.6000000000000004e-07,0.007359832
4.64e-07,0.004682008
4.68e-07,0.000330544
4.7200000000000004e-07,-0.004355648
4.7600000000000003e-07,-0.008372384
4.800000000000001e-07,-0.010380752
4.84e-07,-0.009041839999999999
4.88e-07,-0.005025104
