"Time (s)","Voltage (V)"
-5.09375e-06,3.802291999999976e-05
-5.08975e-06,3.802291999999976e-05
-5.08575e-06,-2.8922690000000298e-05
-5.08175e-06,-2.8922690000000298e-05
-5.07775e-06,-2.8922690000000298e-05
-5.07375e-06,-9.586830000000014e-05
-5.06975e-06,-2.8922690000000298e-05
-5.06575e-06,-2.8922690000000298e-05
-5.06175e-06,-0.00016281391000000042
-5.05775e-06,-9.586830000000014e-05
-5.0537500000000005e-06,-2.8922690000000298e-05
-5.04975e-06,-9.586830000000014e-05
-5.04575e-06,-9.586830000000014e-05
-5.0417500000000005e-06,3.802291999999976e-05
-5.03775e-06,-2.8922690000000298e-05
-5.03375e-06,-2.8922690000000298e-05
-5.02975e-06,-2.8922690000000298e-05
-5.02575e-06,-9.586830000000014e-05
-5.02175e-06,-2.8922690000000298e-05
-5.01775e-06,-2.8922690000000298e-05
-5.01375e-06,-2.8922690000000298e-05
-5.00975e-06,-9.586830000000014e-05
-5.00575e-06,-9.586830000000014e-05
-5.00175e-06,-0.00016281391000000042
-4.99775e-06,-2.8922690000000298e-05
-4.99375e-06,-0.00016281391000000042
-4.98975e-06,-9.586830000000014e-05
-4.9857500000000005e-06,-9.586830000000014e-05
-4.98175e-06,-0.00022975952000000026
-4.97775e-06,-0.00022975952000000026
-4.9737500000000004e-06,-0.00022975952000000026
-4.96975e-06,-0.0002967051300000001
-4.96575e-06,-0.00016281391000000042
-4.96175e-06,-0.00022975952000000026
-4.95775e-06,-0.00022975952000000026
-4.95375e-06,-0.00016281391000000042
-4.94975e-06,-0.00022975952000000026
-4.94575e-06,-0.00022975952000000026
-4.94175e-06,-0.00016281391000000042
-4.93775e-06,-0.00016281391000000042
-4.93375e-06,-0.00016281391000000042
-4.9297500000000005e-06,-0.00016281391000000042
-4.92575e-06,-0.00022975952000000026
-4.92175e-06,-0.00016281391000000042
-4.9177500000000005e-06,-9.586830000000014e-05
-4.91375e-06,-9.586830000000014e-05
-4.90975e-06,-0.00016281391000000042
-4.90575e-06,-0.00016281391000000042
-4.90175e-06,3.802291999999976e-05
-4.89775e-06,-2.8922690000000298e-05
-4.89375e-06,-2.8922690000000298e-05
-4.88975e-06,-2.8922690000000298e-05
-4.88575e-06,-0.0002967051300000001
-4.88175e-06,-9.586830000000014e-05
-4.87775e-06,-0.00016281391000000042
-4.8737500000000006e-06,-9.586830000000014e-05
-4.86975e-06,-9.586830000000014e-05
-4.86575e-06,-9.586830000000014e-05
-4.8617500000000005e-06,-0.00016281391000000042
-4.85775e-06,-0.00016281391000000042
-4.85375e-06,-0.00016281391000000042
-4.8497500000000004e-06,-0.00016281391000000042
-4.84575e-06,-0.00022975952000000026
-4.84175e-06,-0.00022975952000000026
